UID,avg.temp.max
Badin_2014,29.985836398777234
Broders_2004,22.085831809335744
Carter_2005,29.306767652119095
Cryan_2001,23.60772097337277
Fabianek_2015,21.070482940679323
Ford_2006,26.135533907544808
Foster_1999,25.966384881850846
Johnson_2009,25.03880421484733
Jung_2004,24.422574150284817
Kaupas_2016,23.81868599398076
Lacki_2009,28.271474612942175
Lereculeur_2013,28.83388141179451
O'Keefe_2009,27.275550949760035
Owen_2002,23.153641007656283
Sasse_1996,20.69046074907692
Schultes_2002,29.74586656398046
Silvis_2015,29.41811927356967
Swier_2003,27.685160647086242
Thalken_2017,28.517849312582726
