UID,population,sex
Broders_2004,F-Mx,F
Broders_2004,M-Mx,M
Carter_2005,F-Mx,F
Cryan_2001,F-Mx,F
Fabianek_2015,M-Mx,M
Ford_2006,M-Mx,M
Ford_2006,M-Mx,M
Foster_1999,F-Mx,F
Foster_1999,F-Mx,F
Johnson_2009,F-Mx,F
Johnson_2009,F-Mx,F
Jung_2004,M-Mx,M
Lacki_2009,F-Mx,F
Lacki_2009,F-Mx,F
Sasse_1996,F-Mx,F
Silvis_2015,F-Mx,F
Badin_2014,F-Mx,F
Badin_2014,F-Mx,F
Kaupas_2016,F-L,F
Lereculeur_2013,M-Mx,M
Lereculeur_2013,F-Mx,F
O'Keefe_2009,M-Mx,M
O'Keefe_2009,F-Mx,F
Owen_2002,F-Mx,F
Swier_2003,F-Mx,F
Thalken_2017,F-NR,F
Thalken_2017,F-Mx,F
Thalken_2017,M-Mx,M
Schultes_2002,MF-Mx,MF
