UID,st.temp.max
Badin_2014,31.14868004496873
Broders_2004,23.037942655403555
Carter_2005,29.27929273776972
Cryan_2001,23.423980434737604
Fabianek_2015,21.588356655546786
Ford_2006,24.143423817822352
Foster_1999,25.243421635082544
Hyzy_2017,24.196465183930766
Johnson_2009,23.877168886201662
Jung_2004,23.47072343146536
Kaupas_2016,23.89216244565267
Lacki_2009,29.3887877126072
Lereculeur_2013,28.994191997189972
O'Keefe_2009,27.360047916374345
Owen_2002,24.094566476417295
Sasse_1996,21.532274087629354
Schultes_2002,27.524713381443288
Silvis_2015,30.134178193817
Swier_2003,32.02209736703492
Thalken_2017,28.45191088811122
