UID,lat,long,n_year,start_date,end_date,,,,,,,
Broders_2004,45.58333,-65.05,1,19990601,19990831,,,,,,,
Broders_2004,45.58333,-65.05,2,20000601,20000831,,,,,,,
Broders_2004,45.58333,-65.05,3,20010601,20010831,,,,,,,
Carter_2005,37.49632,-89.349125,1,19990515,19990731,,,,,,,
Carter_2005,37.49632,-89.349125,2,20000515,20000731,,,,,,,
Carter_2005,37.49632,-89.349125,3,20010515,20010731,,,,,,,
Cryan_2001,43.75833,-103.952085,1,19950501,19950831,,,,,,,
Cryan_2001,43.75833,-103.952085,2,19960501,19960831,,,,,,,
Cryan_2001,43.75833,-103.952085,3,19970501,19970831,,,,,,,
Fabianek_2015,47.31667,-71.11667,1,20110615,20110815,,,,,,,
Fabianek_2015,47.31667,-71.11667,2,20120615,20120815,,,,,,,
Fabianek_2015,47.31667,-71.11667,3,20130615,20130815,,,,,,,
Ford_2006,39.053724,-79.670491,1,20030612,20030704,,,,,,,
Foster_1999,42.628334,-84.963718,1,19930515,19930831,,,,,,,
Foster_1999,42.628334,-84.963718,2,19940515,19940831,,,,,,,
Johnson_2009,39.053724,-79.670491,1,20070501,20070831,,,,,,,
Johnson_2009,39.053724,-79.670491,2,20080501,20080831,,,,,,,
Jung_2004,46.75,-81.91667,1,19960701,19960831,,,,,,,
Lacki_2009,37.85,-83.65056,1,20060614,20060720,,,,,,,
Lacki_2009,37.85,-83.65056,2,20070422,20070909,,,,,,,
Sasse_1996,44.14871,-71.4537,1,19930601,19930815,,,,,,,
Sasse_1996,44.14871,-71.4537,2,19940601,19940815,,,,,,,
Silvis_2015,37.946109,-85.870467,1,20110524,20110717,,,,,,,
Badin_2014,38.71139,-90.331115,1,20120515,20120731,,,,,,,
Badin_2014,38.71139,-90.331115,2,20130515,20130731,,,,,,,
Kaupas_2016,60.00528,-111.89083,1,20140804,20140816,,,,,,,
Kaupas_2016,60.00528,-111.89083,2,20150705,20150804,,,,,,,
Lereculeur_2013,36.07646,-84.84618,1,20120518,20120828,,,,,,,
O'Keefe_2009,35.18333,-83.48333,1,20040501,20040831,,,,,,,
O'Keefe_2009,35.18333,-83.48333,2,20050501,20050831,,,,,,,
O'Keefe_2009,35.18333,-83.48333,3,20060501,20060831,,,,,,,
O'Keefe_2009,35.18333,-83.48333,4,20070501,20070831,,,,,,,
Owen_2002,38.7,-80.05,1,19980601,19980831,,,,,,,
Owen_2002,38.7,-80.05,2,19990501,19990831,,,,,,,
Swier_2003,43.68405,-99.39966,1,20020526,20020727,,,,,,,
Thalken_2017,37.187,-86.10053,1,20150401,20150930,,,,,,,
Thalken_2017,37.187,-86.10053,2,20160401,20160930,,,,,,,
Schultes_2002,39.127455,-82.350095,1,20000707,20000728,,,,,,,
