UID,lat,long
Broders_2004,45.58333,-65.05
Carter_2005,37.49632,-89.349125
Cryan_2001,43.75833,-103.952085
Fabianek_2015,47.31667,-71.11667
Ford_2006,39.053724,-79.670491
Foster_1999,42.628334,-84.963718
Garroway_2008,44.91667,-63.31667
Grindal_1998,48.95,-57.84167
Henderson_2008,46.58333,-63.58333
Johnson_2009,39.053724,-79.670491
Johnson_2012,39.053724,-79.670491
Jung_2004,46.75,-81.91667
Lacki_2001,38.197995,-83.017213
Lacki_2009,37.85,-83.65056
Menzel_2002,38.7,-80.05
Park_2012,50.53333,-57.4
Perry_2007,34.8,-92.96667
Psyllakis_2006,54.41667,-124.75
Sasse_1996,44.14871,-71.4537
Silvis_2015,37.946109,-85.870467
Timpone_2010,40.16667,-91.81667
Wolff_2009,37.25611,-88.84556
Badin_2014,38.71139,-90.331115
Kaupas_2016,60.00528,-111.89083
Keinath_2016,44.59021,-104.71462
Krynak_2010,41.28082,-81.56781
Lereculeur_2013,36.07646,-84.84618
Lowe_2012,45.05572,-63.83983
O'Keefe_2009,35.18333,-83.48333
Olson_2011,55.45,-114.83333
Owen_2002,38.7,-80.05
Swier_2003,43.68405,-99.39966
Thalken_2017,37.187,-86.10053
Zimmerman_2015,40.178928,-92.64345
Bales_2007,43.52545,-99.0158
Jackson_2004,35.70289,-94.05944
Schultes_2002,39.127455,-82.350095
Karp_2013,39.053724,-79.670491
